temporada_alta,atraso_15,periodo_dia
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,noche
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,True,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,noche
True,False,noche
True,True,tarde
True,False,noche
True,True,tarde
True,False,noche
True,False,tarde
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,tarde
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,tarde
True,True,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,noche
True,False,tarde
True,True,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,noche
True,False,tarde
True,False,tarde
True,True,tarde
True,False,noche
True,True,tarde
True,False,tarde
True,False,tarde
True,False,noche
True,False,tarde
True,False,tarde
True,False,tarde
True,False,noche
True,False,tarde
True,True,tarde
True,False,noche
True,True,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,True,noche
True,True,noche
True,False,noche
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,True,noche
True,False,noche
True,False,noche
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,True,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,True,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,noche
True,False,tarde
True,False,tarde
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,True,mañana
True,False,mañana
True,False,mañana
True,False,mañana
True,False,tarde
True,False,tarde
True,False,tarde
True,False,tarde
True,True,tarde
True,False,tarde
